iter	Passed	Remaining
0	10	2143
1	19	1901
2	33	2169
3	38	1867
4	43	1697
5	48	1574
6	55	1519
7	99	2390
8	121	2585
9	132	2512
10	136	2337
11	142	2225
12	148	2142
13	158	2105
14	202	2502
15	208	2403
16	247	2666
17	254	2571
18	279	2662
19	296	2668
20	329	2808
21	340	2751
22	371	2858
23	389	2859
24	400	2802
25	410	2748
26	418	2682
27	427	2625
28	447	2638
29	460	2608
30	475	2594
31	487	2558
32	493	2497
33	497	2428
34	502	2370
35	506	2306
36	509	2244
37	513	2187
38	516	2133
39	519	2079
40	526	2042
41	535	2015
42	546	1995
43	561	1989
44	565	1947
45	568	1904
46	583	1898
47	605	1916
48	619	1909
49	627	1881
50	637	1863
51	640	1824
52	644	1786
53	647	1750
54	664	1752
55	669	1721
56	672	1686
57	675	1654
58	684	1634
59	697	1628
60	706	1609
61	710	1582
62	712	1549
63	715	1520
64	718	1491
65	721	1464
66	726	1441
67	730	1417
68	734	1394
69	739	1372
70	742	1349
71	746	1326
72	751	1308
73	757	1289
74	761	1269
75	763	1246
76	767	1225
77	774	1211
78	777	1191
79	786	1179
80	790	1161
81	794	1142
82	798	1125
83	810	1119
84	813	1100
85	817	1083
86	830	1078
87	854	1087
88	858	1070
89	861	1052
90	864	1035
91	866	1017
92	872	1004
93	880	992
94	889	983
95	910	986
96	921	978
97	929	967
98	934	953
99	939	939
100	943	924
101	950	912
102	955	900
103	961	887
104	965	873
105	970	860
106	973	846
107	981	835
108	986	823
109	1005	822
110	1023	820
111	1035	813
112	1043	803
113	1049	792
114	1069	790
115	1073	777
116	1077	764
117	1080	751
118	1095	745
119	1100	733
120	1103	720
121	1115	713
122	1132	708
123	1137	697
124	1140	684
125	1144	672
126	1148	660
127	1155	649
128	1165	641
129	1171	630
130	1174	618
131	1182	609
132	1187	598
133	1192	587
134	1205	580
135	1209	569
136	1221	561
137	1228	551
138	1245	546
139	1281	549
140	1286	538
141	1291	527
142	1298	517
143	1304	507
144	1319	500
145	1328	491
146	1334	481
147	1349	474
148	1370	468
149	1376	458
150	1383	449
151	1391	439
152	1401	430
153	1405	419
154	1412	410
155	1416	399
156	1418	388
157	1426	379
158	1430	368
159	1433	358
160	1449	351
161	1460	342
162	1482	336
163	1485	326
164	1487	315
165	1490	305
166	1500	296
167	1508	287
168	1523	279
169	1525	269
170	1528	259
171	1543	251
172	1548	241
173	1553	232
174	1556	222
175	1559	212
176	1579	205
177	1586	196
178	1589	186
179	1591	176
180	1594	167
181	1596	157
182	1604	149
183	1608	139
184	1615	130
185	1629	122
186	1649	114
187	1655	105
188	1661	96
189	1674	88
190	1678	79
191	1681	70
192	1688	61
193	1709	52
194	1724	44
195	1729	35
196	1749	26
197	1758	17
198	1762	8
199	1766	0
