iter	MAE
0	1.480526845
1	1.474219406
2	1.460159501
3	1.448712614
4	1.440816024
5	1.429344082
6	1.420338491
7	1.410838182
8	1.405972739
9	1.39787833
10	1.392945287
11	1.388670146
12	1.381947748
13	1.374599465
14	1.368577873
15	1.362812685
16	1.353547669
17	1.348006394
18	1.342558173
19	1.336445675
20	1.330935506
21	1.3260126
22	1.321365912
23	1.315461751
24	1.31114597
25	1.306799469
26	1.299901812
27	1.295878337
28	1.291837981
29	1.287994678
30	1.282788382
31	1.276715358
32	1.273244473
33	1.269638793
34	1.261954154
35	1.258453187
36	1.255356827
37	1.25233498
38	1.249544684
39	1.24689211
40	1.24440849
41	1.24158272
42	1.238871325
43	1.236522128
44	1.234268249
45	1.232123078
46	1.225289884
47	1.223436565
48	1.219160294
49	1.217422334
50	1.215943816
51	1.214493901
52	1.212024534
53	1.21061837
54	1.209006502
55	1.207724354
56	1.206650799
57	1.205643029
58	1.204632189
59	1.203626476
60	1.20268143
61	1.200902972
62	1.199633501
63	1.198830468
64	1.196009169
65	1.195375095
66	1.194746217
67	1.193974139
68	1.193369276
69	1.192839034
70	1.192055342
71	1.191584797
72	1.191019479
73	1.190565294
74	1.190121555
75	1.189709726
76	1.189329072
77	1.189035184
78	1.188237276
79	1.187371695
80	1.187065638
81	1.186595477
82	1.18623371
83	1.185445283
84	1.185249329
85	1.185074627
86	1.184875016
87	1.184451543
88	1.184007657
89	1.183770231
90	1.183291275
91	1.183074034
92	1.182214438
93	1.182141133
94	1.181849453
95	1.181757123
96	1.181441371
97	1.180884983
98	1.180642907
99	1.18052928
100	1.180407736
101	1.180332733
102	1.179844311
103	1.179455645
104	1.179390353
105	1.178842629
106	1.178708021
107	1.178655611
108	1.178478818
109	1.178397302
110	1.178295243
111	1.178156061
112	1.178124516
113	1.178032727
114	1.177975495
115	1.177318764
116	1.177083172
117	1.177034865
118	1.176902709
119	1.17685463
120	1.176253523
121	1.176177932
122	1.175903749
123	1.174306546
124	1.173892551
125	1.173636972
126	1.172555339
127	1.172493123
128	1.171905183
129	1.171890702
130	1.171386157
131	1.170224397
132	1.170216751
133	1.168318598
134	1.165180384
135	1.165164411
136	1.159771488
137	1.158512895
138	1.156137991
139	1.156093141
140	1.15599251
141	1.155392598
142	1.155369013
143	1.155344953
144	1.154599068
145	1.152737119
146	1.146296048
147	1.146107015
148	1.14555635
149	1.14537331
150	1.144557141
151	1.142912134
152	1.14244966
153	1.141234092
154	1.141156728
155	1.141106929
156	1.141078896
157	1.13568999
158	1.13358713
159	1.133261936
160	1.131811108
161	1.13075358
162	1.130677551
163	1.130672032
164	1.130468599
165	1.130071061
166	1.130012988
167	1.124905886
168	1.12395104
169	1.118187117
170	1.118153708
171	1.117690696
172	1.117242605
173	1.112788323
174	1.112770413
175	1.112666117
176	1.108750574
177	1.10837062
178	1.107953786
179	1.107523218
180	1.107521488
181	1.106251055
182	1.105920362
183	1.105611498
184	1.104362779
185	1.10408553
186	1.104046991
187	1.102417046
188	1.102413462
189	1.102117794
190	1.101313807
191	1.10107867
192	1.100968589
193	1.100781699
194	1.100725374
195	1.100494301
196	1.10033804
197	1.095449018
198	1.093962618
199	1.090328156
