iter	MAE
0	1.469693437
1	1.46113619
2	1.455343088
3	1.446623371
4	1.432096892
5	1.416272333
6	1.407924447
7	1.392873366
8	1.385675546
9	1.378202701
10	1.37099664
11	1.36416831
12	1.350788495
13	1.344389626
14	1.336930813
15	1.330885913
16	1.324847185
17	1.312747437
18	1.307178125
19	1.301842657
20	1.296423064
21	1.285246463
22	1.280377109
23	1.26914305
24	1.260078023
25	1.255635943
26	1.2506334
27	1.246717095
28	1.243095642
29	1.239286038
30	1.23248191
31	1.224398116
32	1.220510126
33	1.211120778
34	1.202230736
35	1.19935338
36	1.191820592
37	1.188378563
38	1.186247828
39	1.184197918
40	1.181965707
41	1.180038588
42	1.177596279
43	1.174029095
44	1.172355638
45	1.170596497
46	1.168596807
47	1.166858788
48	1.165516632
49	1.164200765
50	1.163016796
51	1.161749478
52	1.160105196
53	1.158427869
54	1.157427078
55	1.156159476
56	1.155364677
57	1.154642937
58	1.151906072
59	1.150281422
60	1.149613617
61	1.148910175
62	1.148495238
63	1.145621477
64	1.144770908
65	1.14425728
66	1.143750964
67	1.143431528
68	1.142938203
69	1.142594921
70	1.142292265
71	1.142034507
72	1.141790558
73	1.141416366
74	1.14059737
75	1.140333803
76	1.140131453
77	1.139946937
78	1.139515497
79	1.139267575
80	1.138859898
81	1.138726511
82	1.138518812
83	1.138231668
84	1.137866087
85	1.13747044
86	1.134542721
87	1.134368293
88	1.132718665
89	1.132625745
90	1.131248096
91	1.131139194
92	1.131075507
93	1.130866247
94	1.130678938
95	1.13013331
96	1.129829372
97	1.129074349
98	1.128017906
99	1.127935936
100	1.126739307
101	1.125753308
102	1.125644513
103	1.125508348
104	1.122076455
105	1.120891469
106	1.120748953
107	1.120709004
108	1.120473156
109	1.119769007
110	1.119607579
111	1.118933919
112	1.116307928
113	1.115251869
114	1.11517974
115	1.115078509
116	1.114977615
117	1.113682107
118	1.11359183
119	1.113529495
120	1.110966804
121	1.108403166
122	1.107725738
123	1.107630195
124	1.101284198
125	1.101262237
126	1.099474195
127	1.099439047
128	1.099356321
129	1.094156662
130	1.09399382
131	1.09382358
132	1.092291445
133	1.091977517
134	1.091848157
135	1.091819516
136	1.091768967
137	1.091765784
138	1.089744194
139	1.08970827
140	1.089642084
141	1.089436201
142	1.089395044
143	1.088487086
144	1.088475097
145	1.088163007
146	1.087740805
147	1.087567173
148	1.087443797
149	1.086931861
150	1.081036597
151	1.080943027
152	1.07918745
153	1.079126602
154	1.074134408
155	1.074067536
156	1.071276506
157	1.071122484
158	1.071119047
159	1.069466637
160	1.069426453
161	1.069379904
162	1.069347228
163	1.068285662
164	1.068226332
165	1.068212822
166	1.068126821
167	1.066908262
168	1.06686819
169	1.066866058
170	1.065207524
171	1.06514572
172	1.065127944
173	1.06505154
174	1.064928267
175	1.064900095
176	1.064843187
177	1.064756037
178	1.064702049
179	1.064376459
180	1.063693922
181	1.063328794
182	1.063256448
183	1.063204305
184	1.061979015
185	1.061970137
186	1.061928455
187	1.057194667
188	1.056994813
189	1.055719401
190	1.053324847
191	1.053321837
192	1.053321143
193	1.053208515
194	1.048895516
195	1.048873954
196	1.048240732
197	1.04790506
198	1.04790418
199	1.047839709
