iter	Passed	Remaining
0	10	2149
1	15	1539
2	21	1402
3	26	1303
4	34	1364
5	45	1485
6	61	1704
7	73	1768
8	86	1826
9	90	1728
10	100	1724
11	106	1669
12	114	1642
13	132	1754
14	140	1737
15	153	1770
16	163	1757
17	178	1801
18	192	1834
19	209	1882
20	227	1939
21	240	1944
22	251	1933
23	258	1892
24	264	1853
25	272	1820
26	284	1824
27	295	1816
28	320	1890
29	331	1880
30	349	1906
31	367	1927
32	384	1944
33	416	2032
34	424	1999
35	441	2010
36	457	2013
37	464	1981
38	480	1982
39	490	1961
40	507	1968
41	517	1947
42	528	1931
43	537	1906
44	548	1889
45	555	1859
46	568	1851
47	578	1833
48	589	1815
49	594	1782
50	600	1753
51	610	1738
52	624	1730
53	640	1730
54	647	1708
55	677	1741
56	683	1714
57	688	1685
58	695	1661
59	715	1668
60	731	1666
61	735	1636
62	740	1609
63	750	1594
64	757	1572
65	765	1554
66	777	1543
67	784	1522
68	791	1502
69	799	1484
70	806	1464
71	827	1470
72	860	1496
73	871	1483
74	887	1478
75	907	1480
76	918	1466
77	932	1458
78	940	1440
79	961	1441
80	982	1442
81	987	1421
82	1000	1410
83	1009	1393
84	1017	1376
85	1025	1359
86	1051	1365
87	1056	1344
88	1072	1337
89	1080	1320
90	1094	1311
91	1108	1301
92	1119	1288
93	1138	1283
94	1154	1276
95	1160	1256
96	1173	1246
97	1187	1236
98	1200	1224
99	1227	1227
100	1237	1213
101	1246	1197
102	1257	1184
103	1272	1174
104	1290	1167
105	1312	1163
106	1337	1162
107	1346	1147
108	1351	1128
109	1356	1110
110	1375	1102
111	1389	1091
112	1395	1074
113	1409	1063
114	1426	1054
115	1434	1038
116	1449	1028
117	1460	1015
118	1475	1004
119	1490	993
120	1500	979
121	1509	964
122	1517	949
123	1529	937
124	1540	924
125	1552	911
126	1562	898
127	1591	895
128	1616	889
129	1636	881
130	1646	867
131	1656	853
132	1663	837
133	1670	822
134	1676	807
135	1689	795
136	1702	782
137	1717	771
138	1762	773
139	1785	765
140	1799	752
141	1823	744
142	1833	730
143	1841	716
144	1861	705
145	1867	690
146	1881	678
147	1901	668
148	1921	657
149	1926	642
150	1935	628
151	1955	617
152	1965	603
153	1975	590
154	2001	581
155	2010	567
156	2022	553
157	2035	541
158	2053	529
159	2079	519
160	2101	509
161	2134	500
162	2149	487
163	2160	474
164	2167	459
165	2182	447
166	2195	433
167	2203	419
168	2227	408
169	2231	393
170	2237	379
171	2263	368
172	2277	355
173	2288	341
174	2310	330
175	2319	316
176	2329	302
177	2339	289
178	2354	276
179	2364	262
180	2381	250
181	2385	235
182	2389	221
183	2404	209
184	2418	196
185	2430	182
186	2460	171
187	2479	158
188	2490	144
189	2507	131
190	2525	119
191	2530	105
192	2545	92
193	2552	78
194	2563	65
195	2578	52
196	2582	39
197	2598	26
198	2602	13
199	2631	0
