iter	MAE
0	1.444869227
1	1.43792515
2	1.433601016
3	1.426826611
4	1.419488574
5	1.408599415
6	1.402021016
7	1.394665254
8	1.384344544
9	1.377646905
10	1.372819192
11	1.366707416
12	1.355297788
13	1.3490313
14	1.341519043
15	1.334704048
16	1.322621006
17	1.313516784
18	1.304479046
19	1.297750169
20	1.291902234
21	1.288446369
22	1.281260168
23	1.274853886
24	1.270934166
25	1.262571918
26	1.256834495
27	1.250081509
28	1.245375688
29	1.241159296
30	1.236874861
31	1.233120198
32	1.22764451
33	1.223840245
34	1.220313446
35	1.214889015
36	1.210576172
37	1.206755127
38	1.203426163
39	1.200373227
40	1.19766609
41	1.195053812
42	1.192309948
43	1.189985374
44	1.188250626
45	1.18583069
46	1.183760294
47	1.181255966
48	1.178897369
49	1.174836772
50	1.173057507
51	1.171154814
52	1.16953935
53	1.168063845
54	1.166232738
55	1.164741976
56	1.163649791
57	1.162046013
58	1.160908946
59	1.158891992
60	1.157912799
61	1.157277549
62	1.156297204
63	1.155231876
64	1.153783642
65	1.152875371
66	1.152050915
67	1.151224872
68	1.150271059
69	1.149374038
70	1.148678365
71	1.14663292
72	1.146370877
73	1.145418434
74	1.144823416
75	1.143720793
76	1.143286984
77	1.141668946
78	1.140978787
79	1.140678172
80	1.140077988
81	1.139402469
82	1.138674554
83	1.138566971
84	1.138009706
85	1.137157065
86	1.136870619
87	1.136615844
88	1.1360606
89	1.135192792
90	1.134774486
91	1.128846113
92	1.128815641
93	1.128096871
94	1.127865444
95	1.127658384
96	1.127446509
97	1.126626484
98	1.125972726
99	1.123828587
100	1.123632109
101	1.123383697
102	1.117134927
103	1.117053987
104	1.116991424
105	1.116960765
106	1.116931001
107	1.116825266
108	1.112119963
109	1.111799292
110	1.111569178
111	1.111567708
112	1.111559313
113	1.110699726
114	1.110660319
115	1.108701674
116	1.108639623
117	1.108422958
118	1.108078196
119	1.107263447
120	1.106639602
121	1.106030718
122	1.105933365
123	1.105898213
124	1.10587105
125	1.101274027
126	1.101242068
127	1.100990879
128	1.099672893
129	1.09475695
130	1.089819731
131	1.089788658
132	1.083862893
133	1.07991228
134	1.076472377
135	1.076170489
136	1.075790581
137	1.074316088
138	1.073912297
139	1.070184923
140	1.070183865
141	1.06929859
142	1.06898255
143	1.06872782
144	1.065348217
145	1.062334159
146	1.061048338
147	1.060742456
148	1.057858718
149	1.057608796
150	1.055748141
151	1.055662207
152	1.054838641
153	1.05469639
154	1.049839757
155	1.049345295
156	1.048858051
157	1.048404498
158	1.048391949
159	1.046748924
160	1.046669506
161	1.046435261
162	1.046107559
163	1.045820772
164	1.045680682
165	1.043327666
166	1.043052923
167	1.042837868
168	1.042826608
169	1.042803325
170	1.042234308
171	1.042072255
172	1.041164799
173	1.041121148
174	1.041099228
175	1.038192406
176	1.037748937
177	1.033296134
178	1.029427047
179	1.028956293
180	1.028783687
181	1.028616646
182	1.028427174
183	1.024537375
184	1.023873379
185	1.022050583
186	1.018158302
187	1.015639293
188	1.012127602
189	1.011851442
190	1.011679883
191	1.011164591
192	1.011131649
193	1.009278971
194	1.009015305
195	1.008399186
196	1.006389582
197	1.006071458
198	1.005876111
199	1.005345429
