iter	Passed	Remaining
0	25	5000
1	39	3889
2	51	3366
3	62	3065
4	70	2735
5	89	2901
6	98	2721
7	129	3113
8	137	2911
9	142	2698
10	161	2772
11	173	2713
12	181	2603
13	187	2484
14	193	2386
15	208	2393
16	233	2515
17	254	2568
18	262	2497
19	271	2445
20	278	2375
21	290	2350
22	303	2335
23	320	2347
24	329	2305
25	337	2256
26	344	2205
27	360	2214
28	375	2213
29	379	2149
30	383	2092
31	389	2046
32	399	2023
33	407	1988
34	425	2003
35	444	2024
36	473	2084
37	482	2057
38	497	2055
39	513	2054
40	520	2018
41	532	2005
42	548	2001
43	551	1955
44	562	1936
45	576	1931
46	589	1917
47	598	1895
48	624	1925
49	627	1882
50	636	1860
51	645	1835
52	650	1803
53	653	1765
54	662	1745
55	665	1712
56	681	1708
57	697	1708
58	705	1685
59	714	1667
60	722	1645
61	727	1619
62	734	1597
63	753	1600
64	764	1588
65	788	1601
66	798	1584
67	803	1559
68	809	1536
69	821	1525
70	834	1516
71	876	1558
72	882	1535
73	887	1510
74	893	1488
75	896	1462
76	902	1441
77	914	1430
78	927	1421
79	942	1414
80	959	1409
81	964	1387
82	971	1370
83	976	1349
84	982	1329
85	1001	1327
86	1009	1311
87	1017	1295
88	1020	1273
89	1023	1250
90	1046	1253
91	1057	1241
92	1067	1228
93	1075	1212
94	1086	1200
95	1089	1180
96	1130	1200
97	1135	1181
98	1138	1161
99	1142	1142
100	1146	1124
101	1151	1105
102	1159	1091
103	1163	1074
104	1170	1058
105	1172	1039
106	1175	1021
107	1181	1006
108	1189	993
109	1200	981
110	1203	964
111	1206	947
112	1209	931
113	1212	914
114	1229	908
115	1233	892
116	1237	877
117	1242	863
118	1252	852
119	1261	840
120	1272	830
121	1276	815
122	1279	801
123	1284	787
124	1288	772
125	1293	759
126	1295	744
127	1299	731
128	1311	721
129	1317	709
130	1321	695
131	1325	682
132	1334	672
133	1338	659
134	1342	646
135	1345	633
136	1350	621
137	1364	613
138	1368	600
139	1370	587
140	1400	586
141	1405	574
142	1412	563
143	1427	555
144	1443	547
145	1447	535
146	1450	522
147	1472	517
148	1480	506
149	1487	495
150	1492	484
151	1502	474
152	1505	462
153	1511	451
154	1517	440
155	1520	428
156	1527	418
157	1533	407
158	1537	396
159	1541	385
160	1544	374
161	1557	365
162	1561	354
163	1564	343
164	1567	332
165	1577	323
166	1596	315
167	1603	305
168	1607	294
169	1610	284
170	1614	273
171	1621	263
172	1624	253
173	1630	243
174	1634	233
175	1638	223
176	1648	214
177	1652	204
178	1664	195
179	1672	185
180	1680	176
181	1687	166
182	1690	157
183	1714	149
184	1721	139
185	1727	130
186	1730	120
187	1733	110
188	1737	101
189	1741	91
190	1747	82
191	1752	73
192	1763	63
193	1777	54
194	1780	45
195	1783	36
196	1786	27
197	1790	18
198	1794	9
199	1804	0
