date,Actual,GBDT,Discount
2014-02-08,1.0,1.0053947167832686,
2014-02-09,2.0,1.0053947167832686,
2014-02-10,1.0,0.6122766588650635,
2014-02-11,0.0,0.6122766588650635,
2014-02-12,0.0,0.6122766588650635,
2014-02-13,0.0,0.6122766588650635,
2014-02-14,3.0,0.6122766588650635,
2014-02-15,1.0,0.6122766588650635,
2014-02-16,4.0,0.6122766588650635,
2014-02-17,0.0,0.6122766588650635,
2014-02-18,0.0,0.6122766588650635,
2014-02-19,0.0,0.6122766588650635,
2014-02-20,0.0,0.6122766588650635,
2014-02-21,2.0,0.6122766588650635,
2014-02-22,1.0,0.6122766588650635,
2014-02-23,1.0,0.6122766588650635,
2014-02-24,2.0,0.6122766588650635,
2014-02-25,0.0,0.6122766588650635,
2014-02-26,0.0,0.6122766588650635,
2014-02-27,0.0,0.6122766588650635,
2014-02-28,1.0,0.6122766588650635,
2014-03-01,1.0,0.6122766588650635,
2014-03-02,1.0,0.6122766588650635,
2014-03-03,0.0,0.6122766588650635,
2014-03-04,0.0,0.3251911059733086,
2014-03-05,0.0,0.3251911059733086,
2014-03-06,3.0,0.3251911059733086,
2014-03-07,0.0,0.3251911059733086,
2014-03-08,3.0,0.3251911059733086,
2014-03-09,0.0,0.3251911059733086,
2014-03-10,0.0,0.3251911059733086,
2014-03-11,0.0,0.3251911059733086,
2014-03-12,1.0,0.3251911059733086,
2014-03-13,1.0,0.3251911059733086,
2014-03-14,0.0,0.3251911059733086,
2014-03-15,0.0,0.3251911059733086,
2014-03-16,1.0,0.3251911059733086,
2014-03-17,3.0,0.6122766588650635,
2014-03-18,0.0,0.6122766588650635,
2014-03-19,1.0,0.6122766588650635,
2014-03-20,1.0,0.6122766588650635,
2014-03-21,1.0,0.6122766588650635,
2014-03-22,1.0,0.6122766588650635,
2014-03-23,2.0,0.6122766588650635,
2014-03-24,2.0,0.6122766588650635,
2014-03-25,1.0,0.6122766588650635,
2014-03-26,1.0,0.6122766588650635,
2014-03-27,0.0,0.6122766588650635,
2014-03-28,0.0,0.6122766588650635,
2014-03-29,1.0,0.6122766588650635,
2014-03-30,0.0,0.6122766588650635,
2014-03-31,0.0,0.6122766588650635,
2014-04-01,3.0,0.6122766588650635,
2014-04-02,0.0,0.6122766588650635,
2014-04-03,1.0,0.6122766588650635,
2014-04-04,2.0,0.6122766588650635,
2014-04-05,0.0,0.6122766588650635,
2014-04-06,1.0,0.6122766588650635,
2014-04-07,2.0,0.6122766588650635,
2014-04-08,1.0,0.6122766588650635,
2014-04-09,0.0,0.6122766588650635,
2014-04-10,0.0,0.6122766588650635,
2014-04-11,4.0,0.6122766588650635,
2014-04-12,0.0,0.6122766588650635,
2014-04-13,1.0,0.6122766588650635,
2014-04-14,8.0,3.764394884463705,11.908820028102166
2014-04-15,12.0,6.49687323635492,11.908820028102166
2014-04-16,4.0,5.933753356246815,11.908820028102166
2014-04-17,4.0,6.931421810707731,11.908820028102166
2014-04-18,2.0,6.230399794018895,11.908820028102166
2014-04-19,1.0,6.931421810707731,11.908820028102166
2014-04-20,0.0,6.230399794018895,11.908820028102166
2014-04-21,2.0,6.931421810707731,11.908820028102166
2014-04-22,6.0,6.230399794018895,11.908820028102166
2014-04-23,6.0,6.931421810707731,11.908820028102166
2014-04-24,7.0,6.230399794018895,11.908820028102166
2014-04-25,10.0,6.931421810707731,11.908820028102166
2014-04-26,16.0,6.230399794018895,11.908820028102166
2014-04-27,8.0,6.931421810707731,11.908820028102166
2014-04-28,2.0,5.25766874703597,
2014-04-29,0.0,1.4797789971230428,
2014-04-30,2.0,1.5409089823614393,
2014-05-01,2.0,0.6122766588650635,
2014-05-02,1.0,0.6122766588650635,
2014-05-03,1.0,0.6122766588650635,
2014-05-04,0.0,0.6122766588650635,
2014-05-05,1.0,0.6122766588650635,
2014-05-06,0.0,0.6122766588650635,
2014-05-07,0.0,0.6122766588650635,
2014-05-08,0.0,0.6122766588650635,
2014-05-09,2.0,0.6122766588650635,
2014-05-10,0.0,0.6122766588650635,
2014-05-11,1.0,0.6122766588650635,
2014-05-12,2.0,0.6122766588650635,
2014-05-13,4.0,0.6122766588650635,
2014-05-14,0.0,0.6122766588650635,
2014-05-15,1.0,0.6122766588650635,
2014-05-16,1.0,0.6122766588650635,
2014-05-17,1.0,0.6122766588650635,
2014-05-18,3.0,0.6122766588650635,
2014-05-19,1.0,0.6122766588650635,
2014-05-20,1.0,0.6122766588650635,
2014-05-21,0.0,0.6122766588650635,
2014-05-22,0.0,0.6122766588650635,
2014-05-23,0.0,0.6122766588650635,
2014-05-24,1.0,0.6122766588650635,
2014-05-25,0.0,0.6122766588650635,
2014-05-26,1.0,0.6122766588650635,
2014-05-27,0.0,0.6122766588650635,
2014-05-28,0.0,0.6122766588650635,
2014-05-29,1.0,0.3251911059733086,
2014-05-30,2.0,0.3251911059733086,
2014-05-31,0.0,0.3251911059733086,
2014-06-01,0.0,0.3251911059733086,
2014-06-02,0.0,0.3251911059733086,
2014-06-03,2.0,0.3251911059733086,
2014-06-04,1.0,0.3251911059733086,
2014-06-05,0.0,0.6122766588650635,
2014-06-06,0.0,0.6122766588650635,
2014-06-07,0.0,0.6122766588650635,
2014-06-08,2.0,0.6122766588650635,
2014-06-09,0.0,0.6122766588650635,
2014-06-10,1.0,0.6122766588650635,
2014-06-11,1.0,0.6122766588650635,
2014-06-12,0.0,0.6122766588650635,
2014-06-13,2.0,0.6122766588650635,
2014-06-14,0.0,0.6122766588650635,
2014-06-15,0.0,0.6122766588650635,
