date,id_sku,salesvolume
2009-02-09,46902,0
2009-02-09,59042,2
2009-02-10,15604,2
2009-02-10,46902,2
2009-02-10,59042,0
2009-02-11,15604,2
2009-02-11,46135,1
2009-02-11,46902,4
2009-02-11,59042,0
2009-02-12,15604,6
2009-02-12,46902,0
2009-02-12,59042,2
2009-02-13,15604,1
2009-02-13,46902,6
2009-02-13,59042,3
2009-02-14,15604,7
2009-02-14,46902,4
2009-02-14,59042,2
2009-02-15,15604,2
2009-02-15,46135,1
2009-02-15,46902,2
2009-02-15,59042,2
2009-02-16,15604,2
2009-02-16,46902,2
2009-02-16,59042,3
2009-02-17,15604,0
2009-02-17,46902,5
2009-02-17,59042,4
2009-02-18,15604,1
2009-02-18,46135,1
2009-02-18,46902,4
2009-02-18,59042,2
2009-02-19,15604,1
2009-02-19,46135,1
2009-02-19,46902,0
2009-02-19,59042,3
2009-02-20,15604,6
2009-02-20,46902,6
2009-02-20,59042,1
2009-02-21,15604,1
2009-02-21,46902,5
2009-02-21,59042,2
2009-02-22,15604,2
2009-02-22,46902,1
2009-02-22,59042,3
2009-02-23,15604,2
2009-02-23,46902,3
2009-02-23,59042,3
2009-02-24,15604,0
2009-02-24,46902,5
2009-02-24,59042,2
2009-02-25,15604,1
2009-02-25,46902,1
2009-02-25,59042,6
2009-02-26,15604,2
2009-02-26,46902,3
2009-02-26,59042,2
2009-02-27,15604,6
2009-02-27,46902,5
2009-02-27,59042,3
2009-02-28,15604,3
2009-02-28,46902,3
2009-02-28,59042,5
2009-03-01,15604,1
2009-03-01,46902,1
2009-03-01,59042,3
2009-03-02,15604,1
2009-03-02,46902,1
2009-03-02,59042,2
2009-03-03,15604,2
2009-03-03,46902,5
2009-03-03,59042,5
2009-03-04,15604,5
2009-03-04,46135,1
2009-03-04,46902,3
2009-03-04,59042,2
2009-03-05,15604,1
2009-03-05,46902,4
2009-03-05,59042,4
2009-03-06,15604,2
2009-03-06,46902,4
2009-03-06,59042,3
2009-03-07,15604,6
2009-03-07,46902,4
2009-03-07,59042,5
2009-03-08,15604,1
2009-03-08,46902,3
2009-03-08,59042,2
2009-03-09,15604,1
2009-03-09,46902,0
2009-03-09,59042,2
2009-03-10,15604,0
2009-03-10,46902,1
2009-03-10,59042,4
2009-03-11,15604,1
2009-03-11,46902,3
2009-03-11,59042,3
2009-03-12,15604,0
2009-03-12,46902,0
2009-03-12,59042,8
2009-03-13,15604,2
2009-03-13,46902,2
2009-03-13,59042,2
2009-03-14,15604,1
2009-03-14,46902,1
2009-03-14,59042,4
2009-03-15,15604,1
2009-03-15,46902,4
2009-03-15,59042,6
2009-03-16,15604,0
2009-03-16,46902,2
2009-03-16,59042,2
2009-03-17,15604,0
2009-03-17,46902,1
2009-03-17,59042,3
2009-03-18,15604,1
2009-03-18,46902,2
2009-03-18,59042,3
2009-03-19,15604,2
